Generation Number,Extracted Markdown
14,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite EA E-20HP (50ml) | S$ 25.00 | Image of a yellow tube of Loctite EA E-20HP adhesive. |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | Image of a gray tube of Loctite Ea 9490 Underwater Repair adhesive. |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | Image of a yellow tube of Loctite Ea E 120HP Epoxy Adhesive. |
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | Image of a yellow tube of Loctite Ea E-30CL adhesive. |
===[END]==="
15,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite EA E-20HP (50ml) | S$ 25.00 |  |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A silver tube with red and black labels that says ""Loctite Underwater Repair 2 Part Epoxy."" |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A yellow and white tube with a red label that says ""Loctite EA E-120HP Adhesive"". |
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A yellow and red tube with a black label that says ""Loctite EA E-30CL Adhesive"". |
===[END]==="
16,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A yellow tube with the Loctite and Henkel logos. It says ""Loctite EA E-30CL"" in red letters on the tube. |
| Loctite EA E-20HP (50ml) | S$ 25.00 | A yellow tube with the Loctite logo. It says ""Loctite EA E-20HP"" in red letters on the tube. |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A silver tube with the Loctite logo. It says ""Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised"" on the tube. |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A yellow tube with the Loctite and Henkel logos. It says ""Loctite EA E-120HP"" in red letters on the tube. |
===[END]==="
17,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite EA E-20HP (50ml) | S$ 25.00 | A yellow tube with a white label with a blue border containing the text ""Loctite EA E-20HP"" in black.  |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A silver tube with a red label containing the text ""Loctite Ea 9490 4oz Underwater Repair 2part Epoxy"" in black. |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A yellow tube with a white label with a blue border containing the text ""Loctite EA E-120HP"" in black. |
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A yellow tube with a white label with a blue border containing the text ""Loctite EA E-30CL"" in black. |
===[END]==="
18,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite EA E-20HP (50ml) | S$ 25.00 |  |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | Image shows a gray and red tube that says ""Loctite"" and ""Underwater Repair"". |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 |  Image shows a double-pack of yellow tubes with ""Loctite"" and ""EA E-120HP"" printed on it. |
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | Image shows a double-pack of yellow tubes with ""Loctite"" and ""EA E-30CL"" printed on it. |
===[END]==="
19,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite EA E-20HP (50ml) | S$ 25.00 |  |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | Image of a silver tube with red text saying ""Underwater Repair"" |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | Image of a yellow and white tube with red text saying ""EA E-120HP"" |
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | Image of a yellow and white tube with red text saying ""EA E-30CL"" |
===[END]==="
20,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 |  A yellow and red tube containing the Loctite Ea E-30CL adhesive. |
| Loctite EA E-20HP (50ml) | S$ 25.00 |  A yellow and red tube containing the Loctite EA E-20HP adhesive. |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A silver and red tube containing the Loctite Ea 9490 underwater repair 2-part epoxy adhesive. |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A yellow and red tube containing the Loctite Ea E 120HP epoxy adhesive. |
===[END]==="
21,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite EA E-20HP (50ml) | S$ 25.00 |  |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | Image of a 4oz tube of Loctite Ea 9490 Underwater Repair Epoxy. |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | Image of a 50ml tube of Loctite Ea E 120HP Epoxy Adhesive. |
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | Image of a 50ml tube of Loctite Ea E-30CL Cr Adhesive. |
===[END]==="
22,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite EA E-20HP (50ml) | S$ 25.00 | A yellow and black tube with ""Loctite EA E-20HP"" written on it. |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A silver tube with ""Loctite Ea 9490"" written on it. |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A yellow and black tube with ""Loctite EA E-120HP"" written on it. |
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A yellow and black tube with ""Loctite EA E-30CL"" written on it. |
===[END]===
"
23,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite EA E-20HP (50ml) | S$ 25.00 |  |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | An image of a grey and red tube with the words ""Loctite Underwater Repair 2part Epoxy"" on it. |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | An image of a yellow tube with the words ""Loctite EA E-120HP Adhesive"" on it. |
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | An image of a yellow tube with the words ""Loctite EA E-30CL Adhesive"" on it. |
===[END]==="
24,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite EA E-20HP (50ml) | S$ 25.00 |  |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A gray and red cylindrical container with a label that says ""Loctite Underwater Repair Epoxy"" |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 |  A yellow and red tube with a label that says ""Loctite EA E-120HP""  |
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A yellow and red tube with a label that says ""Loctite EA E-30CL"" | 
===[END]==="
25,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A yellow tube with black writing containing a clear substance. The tube is labeled ""Loctite EA E-30CL"". | 
| Loctite EA E-20HP (50ml) | S$ 25.00 | A yellow tube with black writing containing a clear substance. The tube is labeled ""Loctite EA E-20HP"". |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A gray and red tube with black writing containing a clear substance. The tube is labeled ""Loctite 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised"". |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A yellow tube with black writing containing a clear substance. The tube is labeled ""Loctite EA E-120HP"". | 
===[END]==="
26,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite EA E-20HP (50ml) | S$ 25.00 |  |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 |  |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 |  |
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 |  |
===[END]==="
27,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A yellow tube with a red label with the text ""LOCTITE EA E-30CL"" printed in black. The tube is also labeled with ""Henkel"".  |
| Loctite EA E-20HP (50ml) | S$ 25.00 | A yellow tube with a red label with the text ""LOCTITE EA E-20HP"" printed in black. The tube is also labeled with ""Henkel"".  |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A silver tube with a red label. The label has the text ""Loctite 9490 Underwater Repair Epoxy"" printed in white. |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A yellow tube with a red label with the text ""LOCTITE EA E-120HP"" printed in black. The tube is also labeled with ""Henkel"".  |
===[END]==="
28,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A two-pack yellow tube of Loctite adhesive, with the label reading ""LOCTITE EA E-30CL ADHESIVE"". |
| Loctite EA E-20HP (50ml) | S$ 25.00 | A two-pack yellow tube of Loctite adhesive, with the label reading ""LOCTITE EA E-20HP ADHESIVE"". |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A gray tube with a red stripe, and the label reading ""LOCTITE Underwater Repair Epoxy"". |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A two-pack yellow tube of Loctite adhesive, with the label reading ""LOCTITE EA E-120HP ADHESIVE"". |
===[END]==="
29,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite EA E-20HP (50ml) | S$ 25.00 | A yellow tube with a white label that reads ""LOCTITE EA E-20HP"". |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A silver tube with a red and white label that reads ""LOCTITE EA 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised"". |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A yellow tube with a white label that reads ""LOCTITE EA E-120HP"". |
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A yellow tube with a white label that reads ""LOCTITE EA E-30CL"". |
===[END]==="
30,"===[START]===
| Product Name | Price | Description | 
|---|---|---|
| Loctite EA E-20HP (50ml) | S$ 25.00 | A yellow tube with ""Loctite EA E-20HP"" written on it. |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A silver tube with ""Loctite"" written on it. |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A yellow tube with ""Loctite EA E-120HP"" written on it. |
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A yellow tube with ""Loctite EA E-30CL"" written on it. |
===[END]===
"
31,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 |  The image shows a yellow tube of glue with the name “LOCTITE EA E-30CL” on it. |
| Loctite EA E-20HP (50ml) | S$ 25.00 |  The image shows a yellow tube of glue with the name “LOCTITE EA E-20HP” on it. |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 |  The image shows a silver tube with a red stripe. The label on the tube reads “LOCTITE Underwater Repair Epoxy”. |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 |  The image shows a yellow tube of glue with the name “LOCTITE EA E-120HP” on it. | 
===[END]===
"
32,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite EA E-20HP (50ml) | S$ 25.00 | Image of a yellow and black tube of Loctite EA E-20HP adhesive |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | Image of a gray tube of Loctite Ea 9490 4oz Underwater Repair 2part Epoxy |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | Image of a yellow and black tube of Loctite Ea E 120HP Epoxy Adhesive Cartridge |
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | Image of a yellow and black tube of Loctite Ea E-30CL Cr adhesive |
===[END]==="
33,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 |  |
| Loctite EA E-20HP (50ml) | S$ 25.00 |  |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A gray and red tube of Loctite Ea 9490 4oz |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A double-pack, clear plastic pouch containing two yellow and red tubes of Loctite Ea E 120HP.  |
===[END]==="
34,"===[START]===
| Product Name | Price | Description | 
|---|---|---|
| Loctite EA E-20HP (50ml) | S$ 25.00 | A yellow tube with ""Loctite EA E-20HP"" printed on it |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A silver tube with ""Loctite Ea 9490"" printed on it |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A yellow tube with ""Loctite EA E-120HP"" printed on it |
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A yellow tube with ""Loctite EA E-30CL"" printed on it |
===[END]==="
35,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 |  A yellow and red tube of adhesive with a white label that says ""Loctite EA E-30CL"" |
| Loctite EA E-20HP (50ml) | S$ 25.00 |  A yellow and red tube of adhesive with a white label that says ""Loctite EA E-20HP"" |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 |  A gray tube of adhesive with a white label that says ""Loctite Ea 9490 4oz Underwater Repair 2part Epoxy"" |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A yellow and red tube of adhesive with a white label that says ""Loctite EA E-120HP"" |
===[END]===
"
36,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite EA E-20HP (50ml) | S$ 25.00 |  |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A silver and red tube containing epoxy adhesive |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 |  A package containing two amber-beige tubes of epoxy adhesive |
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 |  A package containing two yellow tubes of epoxy adhesive |
===[END]==="
37,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A yellow and red tube of Loctite EA E-30CL adhesive. |
| Loctite EA E-20HP (50ml) | S$ 25.00 | A yellow and red tube of Loctite EA E-20HP adhesive. |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A silver tube of Loctite Ea 9490 underwater repair epoxy. |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A yellow and red tube of Loctite Ea E 120HP epoxy adhesive. |
===[END]==="
38,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A yellow and red tube with a white label. The tube contains a two-part epoxy adhesive. |
| Loctite EA E-20HP (50ml) | S$ 25.00 | A yellow and red tube with a white label. The tube contains a two-part epoxy adhesive. |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A silver tube with a red and white label. The tube contains a two-part epoxy adhesive. |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A yellow and red tube with a white label. The tube contains a two-part epoxy adhesive. |
===[END]==="
39,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A yellow and red tube with the words 'Loctite' and 'EA E-30CL' on it. |
| Loctite EA E-20HP (50ml) | S$ 25.00 | A yellow and red tube with the words 'Loctite' and 'EA E-20HP' on it. |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A silver tube with the words 'Loctite' and 'Underwater Repair' on it. |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A yellow and red tube with the words 'Loctite' and 'EA E-120HP' on it. |
===[END]==="
40,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A yellow tube with red text and white writing.  The product is called Loctite Ea E-30CL and is a 50ML tube.  |
| Loctite EA E-20HP (50ml) | S$ 25.00 |  A yellow tube with red text and white writing.  The product is called Loctite EA E-20HP and is a 50ML tube. |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A white tube with black and red text and white writing.  The product is called Loctite Ea 9490 and is a 4oz tube. |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A yellow tube with red text and white writing.  The product is called Loctite Ea E-120HP and is a 50ML tube. |
===[END]==="
41,"===[START]===
| Product Name | Price | Description |
|---|---|---|
| Loctite Ea E-30CL Cr 50ML PN-29329 | S$ 29.00 | A yellow tube with the text ""Loctite EA E-30CL"" printed on it. It is in a plastic bag, and the top part is folded over. |
| Loctite EA E-20HP (50ml) | S$ 25.00 | A yellow tube with the text ""Loctite EA E-20HP"" printed on it. It is in a plastic bag, and the top part is folded over. |
| Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised | S$ 25.00 | A silver tube with the text ""Loctite Ea 9490 4oz Underwater Repair 2part Epoxy Loctite Authorised"" printed on it. |
| Loctite Ea E 120HP Epoxy Adhesive Cartridge Amber-beige 50ml Loctite | S$ 40.00 | A yellow tube with the text ""Loctite EA E-120HP"" printed on it. It is in a plastic bag, and the top part is folded over. |
===[END]===
"
